question_id,question,author,question_date,answer_date,subject,ministry
13769,"أمام كل تهاطل كبير للأمطار بالمناطق المجاورة لميناء اشماعلة، يتعرض هذا الأخير إلى أضرار متفاوتة، وذلك بسبب انجراف التربة والرمال نحو الحوض المائي داخل الميناء، والتي تحوله إلى مكب تغمره التربة المترسبة، مما يساهم في  تقليص حجم الطاقة الاستيعابية للميناء وصعوبة استعمال الولوجيات بسبب ارتفاع كميات الوحل، الشيء الذي ينعكس سلبا على الأوضاع المادية والاجتماعية لمهنيي القطاع وأسرهم.
لذا أسائلكم السيد الوزير المحترم:
- ماهي التدابير لحماية هذا المرفق من مخلفات التساقطات المرتفعة بالمنطقة؟",El Amine El Bakkali Tahiri,16/11/2023,pas de réponse,وضعية ميناء اشماعلة بإقليم شفشاون,التجهيز والماء.
13768,"في جديد مشروع قطار فائق السرعة    TGV بين أكادير ومراكش، إختار المكتب الوطني للسكك الحديدية، إحدى المختبرات المعتمدة ببلادنا في هذا المجال لإنجاز الإستطلاع الجيولوجي والهيدروجيولوجي والجيوتقني الخاص بالدراسات الأولية والبنية التحتية العامة والمنشآت الفنية والأنفاق المتعلقة بخط السكك الحديدية بين مراكش وأكادير، هذا وستمتد الدراسة 16 شهراً، قبل أن يتم إعداد ملف المشروع قصد التمويل لانجاز هذا المشروع المهم.
وقد سبق للمكتب الوطني للسكك الحديدية، أن أنهى الدراسات المتعلقة بالخط الفائق السرعة الرابط بين الدارالبيضاء ومدينة مراكش، حيث سيتم إنجاز المشروع ليكون جاهزاً قبل 2030 .
كما أنه من شأن هذا المشروع المساهمة في تحريك الاقتصاد، خاصة في مجال نقل الأشخاص والبضائع، ودعم التصدير والسياحة بين الجهات الأربع (مراكش-آسفي، كلميم-واد نون، الداخلة-  وادي الذهب وسوس-ماسة، وكذا تحقيق الإنسجام والتكامل على مستوى البنيات التحتية، وجعل جهة سوس ماسة مركزا اقتصاديا يربط شمال المغرب بجنوبه.
لأجل ذلك، نسائلكم السيد الوزير، عن مسار الخط السككي للقطار فائق السرعة الذي سيربط بين مراكش و أكادير، وعن النقط التي ستخصص لمحطات توقف القطار، وهل بالإمكان أن يمر عبر مدينتي شيشاوة وإمنتانوت، للمساهمة في التنمية الاقتصادية والإجتماعية والسياحية في هذه المناطق.",Hussein Ait Oulhayane,16/11/2023,pas de réponse,مسار الخط السككي للقطار فائق السرعة الذي سيربط بين مراكش وأكادير,النقل واللوجيستيك.
13767,في الوقت الذي تسعى فيه بلادنا الى تشجيع الرياضة  بمختلف اصنافها  وانواعها، من خلال بناء وتأهيل البنيات التحتية الرياضية بمستوياتها المتعددة، من اجل ضمان الادماج الاجتماعي للشباب، وتقوية مهاراتهم ، وتنمية ذواتهم  وقدراتهم، وتحسين آفاقهم المستقبلية، نجد أن إقليم الحوز لازال يفتقد لهذه الملاعب الرياضية بما فيها أساسا رياضة كرة القدم، خاصة بعد الزلزال الأخير الذي عرفه الإقليم، رغم أنه يتوفر على أكثر من 6 جمعيات رياضية تحتاج الى الدعم المادي والبنيات  التحتية الرياضية، بما فيها ملعب رسمي بمواصفات تسمح للجامعة الملكية المغربية لكرة القدم باعتماده لإجراء المباريات الرياضية المتعلقة بكرة القدم، بالإضافة الى ملاعب رياضية بكل من أيت اورير، تحناوت، أمزميز، أوريكة، سيدي عبد الله غيات، تمزوزت ؛ الامر الذي يدعو للتساؤل عن الإجراءات المتخذة لتمكين الإقليم من البنيات التحتية الرياضية في اطار التوزيع المجالي العادل والمنصف لهذه البنايات ؟,Mohamed IdMoussa,16/11/2023,pas de réponse,دعم المجال الرياضي بإقليم الحوز,التربية الوطنية والتعليم الأولي والرياضة.
13766,"وبعد، أحيط سيادتكن علما أن عددا من خيرة الأطر من فئة متصرف من الدرجة الأولى، التي تعمل بمختلف القطاعات الحكومية والمؤسسات العمومية التابعة لها، والتي ساهمت بإخلاص وتفان، في إشعاع الإدارة العمومية والرقي بأدائها، على الصعيدين الوطني والجهوي، ورغم استيفائها لشروط الترقي لمنصب متصرف عام ، منذ ما يزيد عن عقد من الزمن، ومراسلتها للوزارات المعنية، منذ مدة، في الموضوع، لم تتم ترقيتها إلى المنصب المطلوب، مما أدى إلى شعورها بالإحباط..
لذا، وفي إطار حركية الموظف وتحفيزه، وضمانا لمبدأ تكافؤ الفرص، نتساءل عن الأسباب والدوافع الكامنة وراء تأخير هذه الترقية ؟ و الإجراءات المتخذة لتسريع وتيرة هذه العملية بالنسبة للمتصرفين المستوفين لشروط الترقي، في اطار  المرسوم رقم 2.06.377 الصادر في 20 من ذي القعدة 1431 (29 أكتوبر  2010    ) بشأن النظام الأساسي الخاص بهيئة المتصرفين المشتركة بين  الوزارات ).",Mohamed Najib El Khaldi,16/11/2023,pas de réponse,ترقية المتصرفين لمنصب متصرف عام,الوزارة المنتدبة لدى رئيس الحكومة المكلفة بالانتقال الرقمي وإصلاح الإدارة.
13765,"تعاني ساكنة مدينة ميدلت من إشكالية تدبير النفايات والأزبال بشتى أنواعها إذ تشهد ما يشبه حربا يومية بسبب تراكم النفايات والأزبال، مما ينعكس على الوضعية الصحية والإجتماعية لهذه الساكنة التي تطالب بتوفير مطارح للأزبال بهذه المدينة  التي تعتبر ممر رئيسي لجميع السياح المتجهين إلى المراكز السياحية (مرزوكة، أرفود..)، خاصة وأن ساكنتها في تزايد مستمر.
لذا نسائلكم السيد الوزير المحترم، عن الإجراءات الإستعجالية التي تعتزمون القيام بها من أجل توفير مطرح للأزبال بمدينة ميدلت، وذلك قصد وضع حد لفوضى النفايات بهذه المدينة.",Rachid Adnane,15/11/2023,pas de réponse,توفير مطرح للنفايات بمدينة ميدلت,الداخلية.
13764,"تعاني ساكنة مدينة ميدلت من إشكالية تدبير النفايات والأزبال بشتى أنواعها إذ تشهد ما يشبه حربا يومية بسبب تراكم النفايات والأزبال، مما ينعكس على الوضعية الصحية والإجتماعية لهذه الساكنة التي تطالب بتوفير مطارح للأزبال بهذه المدينة  التي تعتبر ممر رئيسي لجميع السياح المتجهين إلى المراكز السياحية (مرزوكة، أرفود..)، خاصة وأن ساكنتها في تزايد مستمر.
لذا نسائلكم السيدة الوزيرة المحترمة، عن الإجراءات الإستعجالية التي تعتزمون القيام بها من أجل توفير مطرح للأزبال بمدينة ميدلت، وذلك قصد وضع حد لفوضى النفايات بهذه المدينة.",Rachid Adnane,15/11/2023,pas de réponse,توفير مطرح للنفايات بمدينة ميدلت,الانتقال الطاقي والتنمية المستدامة.
13763,"تلعب كل من الطريق رقم 33 الرابطة بين خنيفرة وميدلت، والطريق الوطنية رقم 13 الرابطة بين الحاجب وأرفود عبر مدينة ميدلت، دورا هاما في فك العزلة عن ساكنة جد مهمة، إلا أنهما توجدان في وضعية غير صحية، مما يتطلب وبشكل مستعجل:
1-	 تثنية الطريق الوطنية رقم 13 الرابطة بين الحاجب وأرفود عبر مدينة ميدلت، هذه الأخيرة التي استبشرت الساكنة خيرا بتوقيع اتفاقية شراكة بشأنها، والتي سبق لنا وأن راسلناكم بخصوصها منذ مدة، حيث أخبرتمونا أن الوزارة بصدد تدارس سبل تمويل إنجازها.
2-	توسيع وإصلاح الطريق رقم 33 الرابطة بين خنيفرة وميدلت، لكونها تتسبب في حوادث سير مميتة يذهب ضحيتها مواطنات ومواطنون أبرياء، كما أنها تعرف حركية كبيرة للشاحنات والسيارات.
وعليه، نسائلكم السيد الوزير المحترم، عن التدابير التي ستتخذونها قصد التعجيل بإصلاح وتوسعة الطريق رقم 33، وهل لديكم تاريخ زمني محدد لإنطلاق أشغالها، كما نسائلكم عن مآل تثنية الطريق الوطنية رقم 13 بين الحاجب وأرفود، وأين وصلت الدراسة المزمع القيام بها بشأنها.",Rachid Adnane,15/11/2023,pas de réponse,وضعية بعض الطرق بإقليم ميدلت,التجهيز والماء.
13762,"يعاني قسم المستعجلات بمستشفى الرازي بمدينة مراكش من ضغط كبير جراء استمرار تأخر الأشغال بقسم المستعجلات بمستشفى ابن طفيل، والذي لا ندري الأسباب الكامنة وراء ذلك.
 وعليه، نسائلكم السيد الوزير المحترم عن الإجراءات الاستعجالية التي تعتزمون اتخاذها من أجل إعادة فتح هذا المرفق الصحي في وجه المرتفقين في أقرب الآجال؟",Othmane Bentaleb,15/11/2023,pas de réponse,تأخر الأشغال على مستوى مصلحة المستعجلات بمستشفى ابن طفيل بمراكش,الصحة والحماية الاجتماعية.
13761,"خصصت وزارة الأوقاف والشؤون الإسلامية غلافا ماليا قدره 4 مليون درهم منذ أربع سنوات مضت من أجل بناء مسجد ""أزلا"" بإقليم تطوان. 
غير أن هذا المشروع لم ير النور بعد، رغم أن إدارة المياه والغابات، التي سينجز المشروع على أرض تابعة لها، أعطت موافقتها على ذلك، إضافة إلى أن المسجد مبرمج في إطار تصميم التهيئة بالإقليم.
وعليه، نسائلكم عن:
-	 مآل بناء مشروع المسجد المذكور أعلاه؟
-	دواعي وأسباب تأخر إنجاز هذا المسجد بالرغم من أن كل الظروف هيئت لذلك؟
           وتفضلوا بقبول فائق التقدير والاحترام.",Mohamed Elarbi Ahnin,15/11/2023,pas de réponse,مآل بناء مشروع مسجد أزلا بإقليم تطوان,الأوقاف والشؤون الإسلامية.
13760,"رغم الجهود المبذولة لفك العزلة عن ساكنة العالم القروي، لا زالت بعض المناطق، كما هو الشأن بالنسبة لمنطقة آيت إيحيا بقلعة مكونة، تعاني الأمرين جراء ضعف قنوات الماء ومحولات التيار الكهربائي باعتبارا أن الماء والكهرباء من الضروريات التي لا يمكن الإستغناء عنهما في الحياة اليومية لهؤلاء السكان. 
لأجل ذلك السيدة الوزيرة، نسائلكم عن الإجراءات الإستعجالية التي تعتزمون القيام بها من أجل تمكين ساكنة المنطقة المعنية من الماء الشروب والكهرباء بشكل دائم ودون انقطاع أو تعثر.",Khadija Ezzoumi,15/11/2023,pas de réponse,الخصاص الحاصل في الماء والكهرباء بقلعة مكونة,الانتقال الطاقي والتنمية المستدامة.
13759,في الوقت الذي تسعى فيه الحكومة إلى اصلاح المنظومة الصحية  حتى تكون في مستوى تمكين المواطنين من حقهم الدستوري في العلاج  والعناية الصحية والتغطية الصحية الشاملة، نجد أن  المستشفى الإقليمي ببنجرير يفتقر إلى أبسط متطلبات العلاج والتطبيب، بما في ذلك الخصاص الكبير في مهنييي الصحة والتجهيزات الطبيبة والأدوية وغيرها؛ علاوة على تدني الخدمات والمرافق الصحية وغياب النظافة، الأمر الذي يدعو للتساؤل عن الإجراءات المتخذة لمعالجة هذه الوضعية التي تؤرق الساكنة ودون تمكينهم من حقهم الدستوري في التطبيب والعلاج.,Abdelhalim El Mansouri,15/11/2023,pas de réponse,وضعية المستشفى الإقليمي  بنجرير,الصحة والحماية الاجتماعية.
13758,"يعتبر بناء قنطرة جديدة على وادي أوضيار بجماعة أوضيار بين جماعتي  تافرانت- تابودة، بإقليم تاونات، وجماعة تروال بإقليم وزان، ضرورة ملحة لتيسير حركة المروربالنسبة للساكنة التابعة لهذين الإقليمين وجهتي فاس- مكناس وطنجة- تطوان- الحسيمة.
الامر الذي يدعو للتساؤل عن الإجراءات المتخذة للتعجيل ببناء هذه القنطرة",M'feddal Tahri,15/11/2023,pas de réponse,بناء قنطرة جديدة على وادي أوضيار,التجهيز والماء.
13757,"في إطار الـمجهودات التي تبذلها الحكومة لتنزيل ورش الحماية الاجتماعية وتعزيز العرض الصحي وتيسير ولوج الـمواطنات والـمواطنين، وخاصة في العالـم القروي، إلى مختلف الخدمات الصحية، فإن ساكنة قبيلة آيت عطى بجماعة زاوية أحنصال تعانـي من غياب مركز صحي يلبي حاجياتها في العلاج والتطبيب وتلقيح الأطفال، حيث إن الـمركز الصحي الجماعي يبعد عن الساكنة بحوالي 40 كيلومتر، مما يعمّق من معاناة هذه الساكنة، علما أن هذه الـمنطقة تعرف تساقطات ثلجية كثيفة، خاصة في فصل الشتاء.
لذا؛ نسائلكم عن التدابير التي تعتزمون القيام بها من أجل بناء مركز صحي بدوار إسم السوق بجماعة زاوية احنصال؟",Said Outghilast,14/11/2023,pas de réponse,بناء مركز صحي بدوار إسم السوق بجماعة زاوية احنصال بإقليم أزيلال,الصحة والحماية الاجتماعية.
13756,"يعيش جناح الأمراض التنفسية بالمركز الاستشفائي الجهوي ببني ملال وضعا مزريا، وذلك نتيجة غياب أطباء مختصين في الجهاز التنفسي منذ شهر  ماي الماضي، الأمر الذي زاد من حدة معاناة المرضى، والذي من شأنه تهديد حياتهم لا قدر الله، خاصة أمام كثرة العوامل المسببة في انتشار ذلك المرض واشتداد مضاعفاته لدى المرضى المصابين.
 وأمام هذا الوضع أسائلكم السيد الوزير  المحترم،
 ما هي التدابير التي ستقومون بها من أجل التعجيل بتعيين مختصين في الجهاز التنفسي بالمركز الاستشفائي الجهوي المذكور؟",Touria Afif,14/11/2023,pas de réponse,غياب أطباء مختصين في الجهاز التنفسي بالمركز الاستشفائي الجهوي ببني ملال,الصحة والحماية الاجتماعية.
13755,"السيد الوزير المحترم؛
أطلقتم برنامجا يتعلق بتسيير الوحدات الصحية المتنقلة المجهزة بتقنيات الاتصال عن بعد، وذلك بشراكة بين وزارتكم ومؤسسة محمد الخامس للتضامن وإحدى شركات القطاع الخاص، وهو ما نثمنه ونحييكم عليه.
ويهم هذا البرنامج النموذجي نشر وحدات صحية مجهزة بتقنيات الاتصال عن بُعد في المناطق التي تعاني من خصاص في الولوج إلى الخدمات الصحية، وضمنها إقليم أزيلال الذي أنقل إليكم تطلع ساكنته نحو الاستفادة من هذا البرنامج من الخدمات، في ظل النقص الذي يعاني منه فيما يتعلق بالوحدات الصحية، وكذا الأطباء والممرضين والتجهيزات الطبية وشبه الطبية.
ونعتقد أن إدراج إقليم أزيلال ضمن الأقاليم المستفيدة من برنامج الوحدات الصحية المتنقلة المجهزة بتقنيات الاتصال عن بُعد، سيكون له بالغ الأثر الإيجابي على الساكنة المحلية، وسيساهم في تعزيز فرص نجاح أهداف الحماية الاجتماعية في هذا الإقليم.
لهذه الغاية، نسائلكم، السيد الوزير المحترم، عن التدابير التي ستتخذونها من أجل إدراج إقليم أزيلال ضمن الأقاليم المستفيدة من برنامج الوحدات الصحية المتنقلة المجهزة بتقنيات الاتصال عن بعد؟
وتفضلوا بقبول فائق عبارات التقدير والاحترام.",Zahra Moumen,14/11/2023,pas de réponse,مطلب إدراج إقليم أزيلال ضمن الأقاليم المستفيدة من برنامج الوحدات الصحية المتنقلة المجهزة بتقنيات الاتصال عن بعد,الصحة والحماية الاجتماعية.
13754,"يشتكي مرضى القصور الكلوي الذين يتلقون العلاج بكل من مركز تصفية الدم بمرتيل ومركز تصفية الدم بالفنيدق ومستشفى محمد السادس بالمضيق من غياب طبيب متخصص في أمراض الكلي، وهو ما يؤثر على جودة ونوعية الخدمات الطبية التي يتلقونها.
وفي التفاصيل، فقد قامت طبيبة أمراض الكلي التي كانت تشتغل بالمراكز والمستشفى المذكورين أعلاه، بتقديم طلب الاستفادة من المغادرة الطوعية، تاركة خصاصا على مستوى هذه المراكز والمستشفى.
وتمكن هذه البنيات الاستشفائية من تخفيف معاناة مرضى القصور الكلوي الذين ظلوا لفترات طويلة يتحملون عناء السفر والتنقل إلى مدن أخرى من أجل تلقي العلاج، غير أن غياب الطبيب متخصص في أمراض الكلي سيجعل هؤلاء المرضى يعيشون نفس الأوضاع الصعبة التي كانوا يعيشونها في السابق.
وعليه، نسائلكم عن التدابير الاستعجالية التي تعتزمون اتخاذها من أجل تعيين طبيب متخصص في أمراض الكلي بمركزي تصفية الدم بكل من مرتيل والفنيدق وكذا بمستشفى محمد السادس بالمضيق؟",Mohamed Larbi Merabet,14/11/2023,pas de réponse,تعيين طبيب متخصص في أمراض الكلي بمركزي تصفية الدم بكل من مرتيل والفنيدق وكذا بمستشفى محمد السادس بالمضيق,الصحة والحماية الاجتماعية.
13753,"السيدة الوزيرة المحترمة؛
لقد وقع آلاف الأشخاص من مدن مختلفة ببلادنا ضحايا عملية نصب مُحكَمَة من قِبل مجهولين، بعد أن أوهموهم بالمساهمة بمبالغ مالية مهمة في مشروع تجاري على الأنترنيت، مقابل أرباح يومية، وبعد أشهر من ذلك اكتشف الجميع أن المشروع توقف واختفى المشرفون عليه.
كما لا يخفى عليكم، السيدة الوزيرة المحترمة، أن جميع المساهمات المالية للضحايا، أُرسلت من حساباتهم البنكية إلى الحسابات البنكية للأشخاص المتورطين، وبمبالغ كبيرة وبشكل يومي، دون أن يُثير ذلك حفيظة الهيئات المختصة في رقابة العمليات المالية.
بناء على ذلك، نسائلكم السيدة الوزيرة المحترمة، عن دور هيئات التفتيش والمراقبة المالية في تعقب التحويلات البنكية المشبوهة، وكذا الإجراءات التي قمتم بها، والتي ستتخذونها لحماية المواطنات والمواطنين من شبكات النصب المالي؟
وتقبلوا، السيدة الوزيرة، فائق عبارات التقدير والاحترام.",Loubna Sghiri,13/11/2023,pas de réponse,تعرض عدد من المواطنين للنصب المالي من طرف مجهولين,الاقتصاد والمالية.
